"GroupName","GroupPermissions"
"vz_Bibliothek_Adjustierung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Adjustierung_R","Lesen"
"vz_Bibliothek_Adjustierung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_AG_Bib_neu_R","Lesen"
"vz_Bibliothek_AG_Bib_neu_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_AG_Bib_neu_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Allgemein_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Allgemein_R","Lesen"
"vz_Bibliothek_Allgemein_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_ALMA_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_ALMA_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_ALMA_R","Lesen"
"vz_Bibliothek_Beschilderung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Beschilderung_R","Lesen"
"vz_Bibliothek_Beschilderung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Bestandsmanagement_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Bestandsmanagement_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Bestandsmanagement_R","Lesen"
"vz_Bibliothek_Buchausstellung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Buchausstellung_R","Lesen"
"vz_Bibliothek_Buchausstellung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Buchbinder_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Buchbinder_R","Lesen"
"vz_Bibliothek_Buchbinder_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_E-Resourcen_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_E-Resourcen_R","Lesen"
"vz_Bibliothek_E-Resourcen_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_EDV_Administration_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_EDV_Administration_R","Lesen"
"vz_Bibliothek_EDV_Administration_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Entlehnung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Entlehnung_R","Lesen"
"vz_Bibliothek_Entlehnung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_EOD_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_EOD_R","Lesen"
"vz_Bibliothek_EOD_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Erwerbung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Erwerbung_R","Lesen"
"vz_Bibliothek_Erwerbung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Exemplarspezifika_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Exemplarspezifika_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Exemplarspezifika_R","Lesen"
"vz_Bibliothek_Formale Erschließung_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Formale Erschließung_R","Lesen"
"vz_Bibliothek_Formale Erschließung_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_Geschichte_der_Medizin_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_Geschichte_der_Medizin_R","Lesen"
"vz_Bibliothek_Geschichte_der_Medizin_C","Lesen, Ausführen, Schreiben"
"vz_Bibliothek_GND_R","Lesen"
"vz_Bibliothek_GND_D","Lesen,Schreiben,Löschen"
"vz_Bibliothek_GND_C","Lesen, Ausführen, Schreiben"
